day,cases,deaths,new_cases,new_deaths
2020-03-01,1,0,0,0
2020-03-02,1,0,0,0
2020-03-03,2,0,1,0
2020-03-04,2,0,0,0
2020-03-05,4,0,2,0
2020-03-06,5,0,1,0
2020-03-07,12,0,7,0
2020-03-08,14,0,2,0
2020-03-09,20,0,6,0
2020-03-10,37,0,17,0
2020-03-11,52,0,15,0
2020-03-12,96,0,44,0
2020-03-13,155,0,59,0
2020-03-14,269,1,114,1
2020-03-15,330,5,61,4
2020-03-16,464,7,134,2
2020-03-17,646,11,182,4
2020-03-18,1344,25,698,14
2020-03-19,2477,31,1133,6
2020-03-20,4419,54,1942,23
2020-03-21,6226,75,1807,21
2020-03-22,9065,119,2839,44
2020-03-23,12329,155,3264,36
2020-03-24,14943,230,2614,75
2020-03-25,20061,330,5118,100
2020-03-26,23182,435,3121,105
2020-03-27,25509,560,2327,125
2020-03-28,30919,825,5410,265
2020-03-29,33983,991,3064,166
2020-03-30,38375,1202,4392,211
2020-03-31,43518,1475,5143,273
2020-04-01,47914,1848,4396,373
2020-04-02,52400,2152,4486,304
2020-04-03,57941,2648,5541,496
2020-04-04,64274,3221,6333,573
2020-04-05,68726,3646,4452,425
2020-04-06,73553,4857,4827,1211
2020-04-07,78498,5631,4945,774
2020-04-08,83673,6441,5175,810
2020-04-09,89127,7249,5454,808
2020-04-10,94702,7981,5575,732
2020-04-11,100840,8734,6138,753
2020-04-12,105939,9448,5099,714
2020-04-13,109706,10096,3767,648
2020-04-14,113632,10857,3926,761
2020-04-15,121653,11566,8021,709
2020-04-16,126623,12109,4970,543
2020-04-17,131003,12283,4380,174
2020-04-18,135052,12411,4049,128
2020-04-19,138370,13632,3318,1221
2020-04-20,140881,14074,2511,442
2020-04-21,143547,14513,2666,439
2020-04-22,146787,14959,3240,446
2020-04-23,150327,15361,3540,402
2020-04-24,155081,15754,4754,393
2020-04-25,159851,16146,4770,392
2020-04-26,163106,16486,3255,340
2020-04-27,165463,16821,2357,335
2020-04-28,167487,17206,2024,385
2020-04-29,170124,17597,2637,391
2020-04-30,172784,17809,2660,212
2020-05-01,174931,17931,2147,122
2020-05-02,177490,18021,2559,90
2020-05-03,179728,18451,2238,430
2020-05-04,181034,18580,1306,129
2020-05-05,182318,18719,1284,139
2020-05-06,183770,18993,1452,274
2020-05-07,185653,19141,1883,148
2020-05-08,187157,19210,1504,69
2020-05-09,188663,19324,1506,114
2020-05-10,189656,19436,993,112
2020-05-11,190546,19563,890,127
2020-05-12,191320,19736,774,173
2020-05-13,192394,19815,1074,79
2020-05-14,193663,19904,1269,89
2020-05-15,195472,19972,1809,68
2020-05-16,196481,20071,1009,99
2020-05-17,197486,20214,1005,143
2020-05-18,198114,20298,628,84
2020-05-19,198710,20376,596,78
2020-05-20,199392,20422,682,46
2020-05-21,200507,20491,1115,69
2020-05-22,201298,20569,791,78
2020-05-23,202062,20621,764,52
2020-05-24,202931,20697,869,76
2020-05-25,203569,20740,638,43
2020-05-26,204111,20795,542,55
2020-05-27,204781,20844,670,49
2020-05-28,205854,20895,1073,51
2020-05-29,206800,20960,946,65
2020-05-30,207539,20991,739,31
2020-05-31,208085,21050,546,59
2020-06-01,208550,21090,465,40
2020-06-02,209195,21132,645,42
2020-06-03,209688,21170,493,38
2020-06-04,210227,21234,539,64
2020-06-05,210728,21262,501,28
2020-06-06,211274,21294,546,32
2020-06-07,211728,21323,454,29
2020-06-08,212122,21356,394,33
2020-06-09,212469,21396,347,40
2020-06-10,212884,21436,415,40
2020-06-11,213271,21468,387,32
2020-06-12,213707,21519,436,51
2020-06-13,214242,21551,535,32
2020-06-14,214627,21578,385,27
2020-06-15,215011,21600,384,22
2020-06-16,215342,21619,331,19
2020-06-17,215686,21645,344,26
2020-06-18,216013,21673,327,28
2020-06-19,216421,21710,408,37
2020-06-20,216803,21719,382,9
2020-06-21,217189,21753,386,34
2020-06-22,217487,21796,298,43
2020-06-23,217803,21817,316,21
2020-06-24,218089,21838,286,21
2020-06-25,218429,21856,340,18
2020-06-26,218799,21893,370,37
2020-06-27,219157,21913,358,20
2020-06-28,219481,21940,324,27
2020-06-29,219670,21941,189,1
2020-06-30,219844,22566,174,625
2020-07-01,220143,22574,299,8
2020-07-02,220567,22593,424,19
2020-07-03,221028,22610,461,17
2020-07-04,221395,22630,367,20
2020-07-05,221637,22661,242,31
2020-07-06,221882,22672,245,11
2020-07-07,222156,22690,274,18
2020-07-08,222444,22696,288,6
2020-07-09,222723,22719,279,23
2020-07-10,223078,22739,355,20
2020-07-11,223382,22750,304,11
2020-07-12,223725,22755,343,5
2020-07-13,223977,22795,252,40
2020-07-14,224293,22808,316,13
2020-07-15,224662,22825,369,17
2020-07-16,225045,22842,383,17
2020-07-17,225414,22848,369,6
2020-07-18,225799,22859,385,11
2020-07-19,226104,22872,305,13
2020-07-20,226388,22882,284,10
2020-07-21,226779,22895,391,13
2020-07-22,227130,22899,351,4
2020-07-23,227517,22934,387,35
2020-07-24,227882,22936,365,2
2020-07-25,228220,22947,338,11
2020-07-26,228445,22956,225,9
2020-07-27,228740,22970,295,14
2020-07-28,228939,22977,199,7
2020-07-29,229237,22982,298,5
2020-07-30,229551,22996,314,14
2020-07-31,229834,23002,283,6
2020-08-01,230147,23007,313,5
2020-08-02,230410,23012,263,5
2020-08-03,230648,23021,238,9
2020-08-04,230964,23027,316,6
2020-08-05,231268,23034,304,7
2020-08-06,231600,23563,332,529
2020-08-07,231942,23567,342,4
2020-08-08,232271,23575,329,8
2020-08-09,232517,23580,246,5
2020-08-10,232756,23586,239,6
2020-08-11,233030,23592,274,6
2020-08-12,233422,23602,392,10
2020-08-13,233859,23610,437,8
2020-08-14,234223,23615,364,5
2020-08-15,234609,23621,386,6
2020-08-16,234918,23628,309,7
2020-08-17,235155,23634,237,6
2020-08-18,235446,23642,291,8
2020-08-19,235714,23643,268,1
2020-08-20,235985,23639,271,-4
2020-08-21,236269,23641,284,2
2020-08-22,236534,23646,265,5
2020-08-23,236822,23658,288,12
2020-08-24,237032,23662,210,4
2020-08-25,237263,23666,231,4
2020-08-26,237525,23669,262,3
2020-08-27,237838,23674,313,5
2020-08-28,238107,23680,269,6
2020-08-29,238385,23683,278,3
2020-08-30,238677,23689,292,6
2020-08-31,238938,23695,261,6
2020-09-01,239246,23703,308,8
2020-09-02,239512,23708,266,5
2020-09-03,239815,23710,303,2
2020-09-04,240139,23716,324,6
2020-09-05,240416,23721,277,5
2020-09-06,240711,23721,295,0
2020-09-07,240919,23736,208,15
2020-09-08,241141,23744,222,8
2020-09-09,241351,23741,210,-3
2020-09-10,241686,23741,335,0
2020-09-11,241936,23739,250,-2
2020-09-12,242242,23743,306,4
2020-09-13,242486,23743,244,0
2020-09-14,242754,23750,268,7
2020-09-15,243061,23758,307,8
2020-09-16,243314,23762,253,4
2020-09-17,243644,23767,330,5
2020-09-18,243995,23775,351,8
2020-09-19,244484,23771,489,-4
2020-09-20,244885,23777,401,6
2020-09-21,245147,23782,262,5
2020-09-22,245495,23780,348,-2
2020-09-23,245776,23780,281,0
2020-09-24,246198,23785,422,5
2020-09-25,246570,23792,372,7
2020-09-26,247000,23795,430,3
2020-09-27,247384,23801,384,6
2020-09-28,247765,23810,381,9
2020-09-29,248287,23814,522,4
2020-09-30,248738,23823,451,9
2020-10-01,249272,23829,534,6
2020-10-02,249874,23846,602,17
2020-10-03,250583,23844,709,-2
2020-10-04,251119,23852,536,8
2020-10-05,251591,23861,472,9
2020-10-06,252159,23866,568,5
2020-10-07,252703,23873,544,7
2020-10-08,253398,23874,695,1
2020-10-09,254023,23879,625,5
2020-10-10,254599,23882,576,3
2020-10-11,255068,23883,469,1
2020-10-12,255464,23890,396,7
2020-10-13,256007,23895,543,5
2020-10-14,256474,23905,467,10
2020-10-15,256986,23915,512,10
2020-10-16,257642,23915,656,0
2020-10-17,258452,23925,810,10
2020-10-18,259064,23935,612,10
2020-10-19,259484,23944,420,9
2020-10-20,259920,23944,436,0
2020-10-21,260762,23949,842,5
2020-10-22,261293,23955,531,6
2020-10-23,261863,23963,570,8
2020-10-24,262615,23963,752,0
2020-10-25,263269,23967,654,4
2020-10-26,263694,23969,425,2
2020-10-27,264428,23978,734,9
2020-10-28,265263,23980,835,2
2020-10-29,266321,23989,1058,9
2020-10-30,267227,23996,906,7
2020-10-31,267929,24001,702,5
